05/15/2020 01:46:42 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:42 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:43 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:43 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:43 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:43 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:43 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:43 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:43 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:43 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:43 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:43 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:44 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:44 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:44 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:44 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:44 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:44 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:44 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:44 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:44 PM [gen_all_tc] Generating AO module mirror emission photons
05/15/2020 01:46:44 PM [_gen_all_tc] Generating telescope mirror emission photons
05/15/2020 01:46:44 PM [_gen_all_tc] Generating atmospheric emission photons
05/15/2020 01:46:45 PM [_gen_all_tc] GGenerating optical path for source photons
05/15/2020 01:46:45 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:45 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:46 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:46 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:46 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:46 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:47 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:47 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:47 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:47 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:48 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:48 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:48 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:48 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:49 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:49 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:49 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:49 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:49 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:49 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:50 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:50 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:50 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:50 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:50 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:50 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:51 PM locator: <matplotlib.ticker.FixedLocator object at 0x000001EC18CB4048>
05/15/2020 01:46:51 PM Using fixed locator on colorbar
05/15/2020 01:46:51 PM Setting pcolormesh
05/15/2020 01:46:51 PM update_title_pos
05/15/2020 01:46:51 PM findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000.
05/15/2020 01:46:51 PM findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=14.0 to DejaVu Sans ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000.
05/15/2020 01:46:51 PM findfont: Matching :family=STIXGeneral:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to STIXGeneral ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf') with score of 0.050000.
05/15/2020 01:46:51 PM findfont: Matching :family=STIXGeneral:style=italic:variant=normal:weight=normal:stretch=normal:size=10.0 to STIXGeneral ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf') with score of 0.050000.
05/15/2020 01:46:51 PM findfont: Matching :family=STIXGeneral:style=normal:variant=normal:weight=bold:stretch=normal:size=10.0 to STIXGeneral ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf') with score of 0.000000.
05/15/2020 01:46:51 PM findfont: Matching :family=STIXNonUnicode:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to STIXNonUnicode ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf') with score of 0.050000.
05/15/2020 01:46:51 PM findfont: Matching :family=STIXNonUnicode:style=italic:variant=normal:weight=normal:stretch=normal:size=10.0 to STIXNonUnicode ('C:\\Program Files\\Python36\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf') with score of 0.050000.
